termino,tipo,razon,clicks_hist,gasto_hist_usd,gasto_hist_mxn,campanas_origen,aprobado_por,fecha_aprobacion,fuente
baño,negative_exact,sin relacion con arras (aprobado por el dueno),10,0,183.3,1,dueno,2026-08-25,bootstrap-2713-terminos
monedas del mundial 2026,negative_exact,"mundial (coleccionismo, no boda)",26,0,168.86,1,dueno,2026-08-25,bootstrap-2713-terminos
monedas conmemorativas del mundial 2026,negative_exact,"mundial (coleccionismo, no boda)",13,0,161.69,2,dueno,2026-08-25,bootstrap-2713-terminos
centenario de oro,negative_exact,centenario (bullion/inversion),20,0,63.94,2,dueno,2026-08-25,bootstrap-2713-terminos
onzas de plata .999 libertad,negative_exact,onza libertad (bullion),6,0,32.27,1,dueno,2026-08-25,bootstrap-2713-terminos
lazo de boda,negative_exact,lazo de boda = otro producto,4,0,30.97,2,dueno,2026-08-25,bootstrap-2713-terminos
anillos de compromiso,negative_exact,anillos = otro producto,3,0,21.36,1,dueno,2026-08-25,bootstrap-2713-terminos
centenario,negative_exact,centenario (bullion/inversion),3,0,21.03,1,dueno,2026-08-25,bootstrap-2713-terminos
monedas antiguas,negative_exact,numismatica,3,0,19.07,1,dueno,2026-08-25,bootstrap-2713-terminos
cojin para boda,negative_exact,cojines = otro producto,2,0,15.98,1,dueno,2026-08-25,bootstrap-2713-terminos
anillos de boda,negative_exact,anillos = otro producto,2,0,14.94,1,dueno,2026-08-25,bootstrap-2713-terminos
confirmacion,negative_exact,"confirmacion, otro evento",1,0,13.4,1,dueno,2026-08-25,bootstrap-2713-terminos
caja para centenario,negative_exact,centenario (bullion/inversion),1,0,12.83,1,dueno,2026-08-25,bootstrap-2713-terminos
moneda centenario de oro,negative_exact,centenario (bullion/inversion),1,0,12.8,1,dueno,2026-08-25,bootstrap-2713-terminos
copas para boda,negative_exact,copas = otro producto,2,0,12.6,1,dueno,2026-08-25,bootstrap-2713-terminos
monedas antiguas mexicanas,negative_exact,numismatica,2,0,11.53,1,dueno,2026-08-25,bootstrap-2713-terminos
monedas conmemorativas del mundial,negative_exact,"mundial (coleccionismo, no boda)",1,0,10.93,1,dueno,2026-08-25,bootstrap-2713-terminos
monedas del mundial,negative_exact,"mundial (coleccionismo, no boda)",1,0,10,1,dueno,2026-08-25,bootstrap-2713-terminos
recuerdos confirmacion,negative_exact,"confirmacion, otro evento",1,0,9.38,1,dueno,2026-08-25,bootstrap-2713-terminos
copas de boda,negative_exact,copas = otro producto,1,0,8.13,1,dueno,2026-08-25,bootstrap-2713-terminos
estuche para monedas de 20 pesos mundial,negative_exact,"mundial (coleccionismo, no boda)",1,0,7.9,1,dueno,2026-08-25,bootstrap-2713-terminos
centenario plata,negative_exact,centenario (bullion/inversion),1,0,7.67,1,dueno,2026-08-25,bootstrap-2713-terminos
anillos de matrimonio,negative_exact,anillos = otro producto,1,0,6.73,1,dueno,2026-08-25,bootstrap-2713-terminos
estuche para centenario,negative_exact,centenario (bullion/inversion),2,0,6.61,2,dueno,2026-08-25,bootstrap-2713-terminos
cojines para boda,negative_exact,cojines = otro producto,1,0,6.54,1,dueno,2026-08-25,bootstrap-2713-terminos
copas boda,negative_exact,copas = otro producto,1,0,6.22,1,dueno,2026-08-25,bootstrap-2713-terminos
monedas de plata conmemorativas del mundial 2026,negative_exact,"mundial (coleccionismo, no boda)",1,0,5.9,1,dueno,2026-08-25,bootstrap-2713-terminos
cojines para boda religiosa rodillas,negative_exact,cojines = otro producto,1,0,5.78,1,dueno,2026-08-25,bootstrap-2713-terminos
moneda bautizo,negative_exact,"bautizo, otro evento",1,0,5.58,1,dueno,2026-08-25,bootstrap-2713-terminos
monedas mundial,negative_exact,"mundial (coleccionismo, no boda)",1,0,4.31,1,dueno,2026-08-25,bootstrap-2713-terminos
lazo de boda catolica,negative_exact,lazo de boda = otro producto,1,0,3.9,1,dueno,2026-08-25,bootstrap-2713-terminos
centenario moneda de oro,negative_exact,centenario (bullion/inversion),1,0,3.85,1,dueno,2026-08-25,bootstrap-2713-terminos
ceremonia de arena boda,negative_exact,ceremonia de arena = otro producto,1,0,3.6,1,dueno,2026-08-25,bootstrap-2713-terminos
kit velas de velacion boda,negative_exact,velas = otro producto,1,0,2.41,1,dueno,2026-08-25,bootstrap-2713-terminos
madrina de velacion boda,negative_exact,velas = otro producto,1,0,1.22,1,dueno,2026-08-25,bootstrap-2713-terminos
bautizo old money,negative_exact,"bautizo, otro evento",1,0,1.04,1,dueno,2026-08-25,bootstrap-2713-terminos
monedas de oro centenario,negative_exact,centenario (bullion/inversion),1,0,1.01,1,dueno,2026-08-25,bootstrap-2713-terminos
madrina de velacion boda accesorios,negative_exact,velas = otro producto,1,0,0.7,1,dueno,2026-08-25,bootstrap-2713-terminos
madrina de copas para boda,negative_exact,copas = otro producto,1,0,0.69,1,dueno,2026-08-25,bootstrap-2713-terminos
en su poner añillos los de boda,negative_exact,anillos = otro producto,1,0,0.69,1,dueno,2026-08-25,bootstrap-2713-terminos
lámpara de pie retro americana sala de estar de lujo europea dormitorio villa hotel café luces decorativas de vidrio de color (estilo 13),negative_exact,monedas euro (numismatica),1,0,0.69,1,dueno,2026-08-25,bootstrap-2713-terminos
lazos matrimoniales,negative_exact,lazo de boda = otro producto,1,0,0.69,1,dueno,2026-08-25,bootstrap-2713-terminos
centenarios parra de matrimonio,negative_exact,centenario (bullion/inversion),2,0,0.66,2,dueno,2026-08-25,bootstrap-2713-terminos
monedas de oro puro centenario,negative_exact,centenario (bullion/inversion),1,0,0.63,1,dueno,2026-08-25,bootstrap-2713-terminos
arroz matrimoniales de doradas de centenario,negative_exact,centenario (bullion/inversion),1,0,0.33,1,dueno,2026-08-25,bootstrap-2713-terminos
centenario oro,negative_exact,centenario (bullion/inversion),1,0,0.33,1,dueno,2026-08-25,bootstrap-2713-terminos
venta de centenarios,negative_exact,centenario (bullion/inversion),1,0,0.31,1,dueno,2026-08-25,bootstrap-2713-terminos
venta de centenario de oro,negative_exact,centenario (bullion/inversion),1,0,0.29,1,dueno,2026-08-25,bootstrap-2713-terminos
centenario de oro puro 50 pesos,negative_exact,centenario (bullion/inversion),1,0,0.29,1,dueno,2026-08-25,bootstrap-2713-terminos
estuche para onzas de plata libertad,negative_exact,onza libertad (bullion),1,0,0.1,1,dueno,2026-08-25,bootstrap-2713-terminos
gold centenario,negative_exact,centenario (bullion/inversion),17,7.63,0,1,dueno,2026-08-25,bootstrap-2713-terminos
lasso for wedding,negative_exact,lazo de boda = otro producto,5,1.32,0,2,dueno,2026-08-25,bootstrap-2713-terminos
wedding ring boxes for ceremony,negative_exact,anillos = otro producto,3,1.20,0,2,dueno,2026-08-25,bootstrap-2713-terminos
first communion and confirmation souvenirs,negative_exact,"comunion, otro evento",2,1,0,1,dueno,2026-08-25,bootstrap-2713-terminos
gold bars 24k,negative_exact,gold bar (bullion),2,0.93,0,1,dueno,2026-08-25,bootstrap-2713-terminos
centenario boda,negative_exact,centenario (bullion/inversion),2,0.9,0,1,dueno,2026-08-25,bootstrap-2713-terminos
gold bullion,negative_exact,bullion (inversion),2,0.9,0,1,dueno,2026-08-25,bootstrap-2713-terminos
wedding lasso for ceremony,negative_exact,lazo de boda = otro producto,2,0.88,0,1,dueno,2026-08-25,bootstrap-2713-terminos
wedding ring box,negative_exact,anillos = otro producto,2,0.83,0,1,dueno,2026-08-25,bootstrap-2713-terminos
wedding lasso,negative_exact,lazo de boda = otro producto,3,0.69,0,2,dueno,2026-08-25,bootstrap-2713-terminos
centenario de oro de 50 pesos original,negative_exact,centenario (bullion/inversion),2,0.62,0,2,dueno,2026-08-25,bootstrap-2713-terminos
centenario display,negative_exact,centenario (bullion/inversion),1,0.6,0,1,dueno,2026-08-25,bootstrap-2713-terminos
pokémon cards free v stars vmax’s,negative_exact,pokemon (coleccionismo),1,0.6,0,1,dueno,2026-08-25,bootstrap-2713-terminos
christian lasso for weddings,negative_exact,lazo de boda = otro producto,1,0.5,0,1,dueno,2026-08-25,bootstrap-2713-terminos
24k gold bars,negative_exact,gold bar (bullion),1,0.5,0,1,dueno,2026-08-25,bootstrap-2713-terminos
goldbacks currency 24k,negative_exact,goldback (bullion),1,0.5,0,1,dueno,2026-08-25,bootstrap-2713-terminos
arena para matrimonio catolico,negative_exact,ceremonia de arena = otro producto,1,0.5,0,1,dueno,2026-08-25,bootstrap-2713-terminos
unity candles for wedding ceremony set,negative_exact,velas = otro producto,1,0.5,0,1,dueno,2026-08-25,bootstrap-2713-terminos
save the dates for weddings,negative_exact,"papeleria de boda, no arras",1,0.5,0,1,dueno,2026-08-25,bootstrap-2713-terminos
24k pure gold bar,negative_exact,gold bar (bullion),1,0.48,0,1,dueno,2026-08-25,bootstrap-2713-terminos
centenarios plata mexico,negative_exact,centenario (bullion/inversion),1,0.48,0,1,dueno,2026-08-25,bootstrap-2713-terminos
lucky money coins gold bars cash with statue,negative_exact,gold bar (bullion),1,0.45,0,1,dueno,2026-08-25,bootstrap-2713-terminos
arceus vmax pokémon card,negative_exact,pokemon (coleccionismo),1,0.44,0,1,dueno,2026-08-25,bootstrap-2713-terminos
gold bars 1 oz.999 pure bullion,negative_exact,gold bar (bullion),1,0.44,0,1,dueno,2026-08-25,bootstrap-2713-terminos
24k pure gold bullion,negative_exact,bullion (inversion),1,0.43,0,1,dueno,2026-08-25,bootstrap-2713-terminos
case for catholic wedding rings,negative_exact,anillos = otro producto,1,0.4,0,1,dueno,2026-08-25,bootstrap-2713-terminos
gold wedding ring boxes for ceremony,negative_exact,anillos = otro producto,1,0.4,0,1,dueno,2026-08-25,bootstrap-2713-terminos
quinceanera shovel and knife box,negative_exact,"quinceanera, otro evento",1,0.39,0,1,dueno,2026-08-25,bootstrap-2713-terminos
wooden and glass box for wedding rings,negative_exact,anillos = otro producto,1,0.38,0,1,dueno,2026-08-25,bootstrap-2713-terminos
centenario de oro 24k mexicano,negative_exact,centenario (bullion/inversion),1,0.34,0,1,dueno,2026-08-25,bootstrap-2713-terminos
gold rare pokemon cards,negative_exact,pokemon (coleccionismo),1,0.32,0,1,dueno,2026-08-25,bootstrap-2713-terminos
unity candle for wedding ceremony,negative_exact,velas = otro producto,1,0.3,0,1,dueno,2026-08-25,bootstrap-2713-terminos
centenario de boda,negative_exact,centenario (bullion/inversion),1,0.3,0,1,dueno,2026-08-25,bootstrap-2713-terminos
confirmation acknowledgement form,negative_exact,"confirmacion, otro evento",1,0.29,0,1,dueno,2026-08-25,bootstrap-2713-terminos
real gold centenario,negative_exact,centenario (bullion/inversion),1,0.27,0,1,dueno,2026-08-25,bootstrap-2713-terminos
silver bullion box,negative_exact,bullion (inversion),1,0.26,0,1,dueno,2026-08-25,bootstrap-2713-terminos
centenario coin box,negative_exact,centenario (bullion/inversion),1,0.2,0,1,dueno,2026-08-25,bootstrap-2713-terminos
money bouquet with chocolate for quince,negative_exact,"chocolate, no monedas de ceremonia",1,0.15,0,1,dueno,2026-08-25,bootstrap-2713-terminos
wedding ceremony rings,negative_exact,anillos = otro producto,1,0.12,0,1,dueno,2026-08-25,bootstrap-2713-terminos
