recuadro amazon_mx 2026-09-18 (salidas A.7): activas=260
  evaluadas=0 no_evaluadas=102 [canal_sin_dato=102] sin_goal=158 fuera_de_alcance=0 [] [CUADRA]
  sin_goal: 0O-B6OS-8RRE (848.00 MXN, fba)
  sin_goal: 0X-MX5B-0D61 (2689.00 MXN, fba)
  sin_goal: 1A-4OGN-6UWN (1288.00 MXN, fba)
  sin_goal: 1F-6UAF-5JOO (1989.00 MXN, fba)
  sin_goal: 1G-VN1W-PBIB (980.00 MXN, fba)
  sin_goal: 1M-9GIF-SQBE (1189.00 MXN, fba)
  sin_goal: 1O-NIJ0-FTO8 (1489.00 MXN, fba)
  sin_goal: 1X-9MPP-46OA (2689.00 MXN, fba)
  sin_goal: 33-BEKE-S6UA (699.00 MXN, fba)
  sin_goal: 35-LPV7-8TTN (889.00 MXN, fba)
  sin_goal: 3L-68GF-9GPR (1488.00 MXN, fba)
  sin_goal: 3S-LFPL-IDVX (1489.00 MXN, fba)
  sin_goal: 4Z-CNJK-Y41N (1288.00 MXN, fba)
  sin_goal: 50-16TH-AZPE (1988.00 MXN, fba)
  sin_goal: 56-CDUJ-W64L (1189.00 MXN, fba)
  sin_goal: 5Q-OAWQ-W8FL (699.00 MXN, fba)
  sin_goal: 67-U5IS-E2XV (988.00 MXN, fba)
  sin_goal: 6S-QZ5N-9IEG (1989.00 MXN, fba)
  sin_goal: 6S-RV2S-VLVV (699.00 MXN, fba)
  sin_goal: 6W-BX00-DCPB (1988.00 MXN, fba)
  sin_goal: 6Y-C2Q0-F6YV (699.00 MXN, fba)
  sin_goal: 70-Q2KZ-07TL (980.00 MXN, fba)
  sin_goal: 7H-OLR6-OW2D (1988.00 MXN, fba)
  sin_goal: 7H-R0SN-4E27 (768.90 MXN, fba)
  sin_goal: 7P-RNI4-ZF2T (1189.00 MXN, fba)
  sin_goal: 7T-ERD8-JZDQ (1889.00 MXN, fba)
  sin_goal: 87-RIK9-VTJQ (1488.00 MXN, fba)
  sin_goal: 88-WYMY-O42A (2689.00 MXN, fba)
  sin_goal: 8F-KA00-WX1S (768.90 MXN, fba)
  sin_goal: 8M-7ZFD-QNYA (768.90 MXN, fba)
  sin_goal: 8O-1N24-WOG6 (1189.00 MXN, fba)
  sin_goal: 90-L7TN-78SH (1988.00 MXN, fba)
  sin_goal: 94-BS5W-D2O0 (1489.00 MXN, fba)
  sin_goal: 9C-IXLT-VNZQ (768.90 MXN, fba)
  sin_goal: 9D-5LHS-JYW6 (699.00 MXN, fba)
  sin_goal: 9F-3GEW-Y93N (1189.00 MXN, fba)
  sin_goal: 9J-TPMS-HFE3 (1288.00 MXN, fba)
  sin_goal: 9L-63OP-ME6D (1688.00 MXN, fba)
  sin_goal: 9M-ULI8-YE1L (1648.00 MXN, fba)
  sin_goal: 9V-OPKR-FY1O (889.00 MXN, fba)
  sin_goal: AE-ZSSB-NQ4A (699.00 MXN, fba)
  sin_goal: AG-IWE5-36XD (1489.00 MXN, fba)
  sin_goal: AH-73LR-4UD3 (768.90 MXN, fba)
  sin_goal: AJ-EX0N-9H0U (1434.80 MXN, fba)
  sin_goal: AR-C36V-37GO (848.00 MXN, fba)
  sin_goal: AS-B6C1-L7Y3 (988.00 MXN, fba)
  sin_goal: AZ-RE6Q-E9OV (1688.00 MXN, fba)
  sin_goal: B7-QSRR-3A3O (1288.00 MXN, fba)
  sin_goal: BJ-3H4C-NY0Z (768.90 MXN, fba)
  sin_goal: BK-5RY4-5SWU (768.90 MXN, fba)
  sin_goal: BO-EB4F-31NN (1489.00 MXN, fba)
  sin_goal: BY-SCB3-VE5W (980.00 MXN, fba)
  sin_goal: C9-I05U-1AFG (1989.00 MXN, fba)
  sin_goal: CV-PX9V-CPA8 (1889.00 MXN, fba)
  sin_goal: CY-2H0B-IWL0 (1980.00 MXN, fba)
  sin_goal: D1-C99S-QL9O (1288.00 MXN, fba)
  sin_goal: D8-SI4W-E2AE (848.00 MXN, fba)
  sin_goal: DG-4G1E-FRUK (1288.00 MXN, fba)
  sin_goal: DH-VEVA-2Z23 (1980.00 MXN, fba)
  sin_goal: DI-3Q8J-EH8Y (699.00 MXN, fba)
  sin_goal: DU-2MBI-3ADM (699.00 MXN, fba)
  sin_goal: DV-J9YG-ICAC (1288.00 MXN, fba)
  sin_goal: E5-LT8L-GR8Y (1989.00 MXN, fba)
  sin_goal: EM-03GP-9JNI (1889.00 MXN, fba)
  sin_goal: ES-QI5A-U0F3 (1489.00 MXN, fba)
  sin_goal: ES-QKZO-2M25 (1489.00 MXN, fba)
  sin_goal: EX-W8SE-44R2 (1488.00 MXN, fba)
  sin_goal: F0-I9HL-9O4K (768.90 MXN, fba)
  sin_goal: F1-T78C-AZMG (1488.00 MXN, fba)
  sin_goal: FE-UYCI-F1M3 (1489.00 MXN, fba)
  sin_goal: FM-GQ8B-ZRSM (2689.00 MXN, fba)
  sin_goal: GG-9YNX-PTM5 (768.90 MXN, fba)
  sin_goal: HH-WI9V-PXCL (1489.00 MXN, fba)
  sin_goal: I1-8ADP-H8LB (1488.00 MXN, fba)
  sin_goal: I3-7KFO-MGRZ (1189.00 MXN, fba)
  sin_goal: IC-AUUL-G44D (1988.00 MXN, fba)
  sin_goal: IF-88UP-AFT1 (988.00 MXN, fba)
  sin_goal: IQ-8LPT-G9FP (1189.00 MXN, fba)
  sin_goal: IR-4EU7-W83D (768.90 MXN, fba)
  sin_goal: IS-01JE-LGO2 (1489.00 MXN, fba)
  sin_goal: J1-KQV7-MKZV (988.00 MXN, fba)
  sin_goal: J6-AK0F-9V6C (1489.00 MXN, fba)
  sin_goal: J8-7HCX-5NYM (1489.00 MXN, fba)
  sin_goal: JH-RY0S-FBMY (1189.00 MXN, fba)
  sin_goal: JI-GK3S-XCXD (768.90 MXN, fba)
  sin_goal: JJ-ZFJQ-C9ZC (988.00 MXN, fba)
  sin_goal: JS-8ZWE-0LYV (1189.00 MXN, fba)
  sin_goal: K4-WBTE-9PWR (1488.00 MXN, fba)
  sin_goal: KM-P891-0MY5 (988.00 MXN, fba)
